platesmania/NGO J503.jpg	NGO J503	739,759;892,763;891,796;738,792		
platesmania/WOS 35198.jpg	WOS 35198	1071,915;1401,805;1390,885;1061,1004		
platesmania/WGR 7M76.jpg	WGR 7M76	542,606;810,623;806,679;537,664		
platesmania/DJ 74847.jpg	DJ 74847	761,800;1017,799;1014,851;758,856		
platesmania/WB 3381L.jpg	WB 3381L	888,774;1172,767;1158,830;877,840		
platesmania/GND R447.jpg	GND R447	1115,703;1274,682;1274,733;1112,756		
platesmania/G0 JEC01.jpg	G0 JEC01	980,584;1139,567;1146,607;988,626		
platesmania/GPU 9S51.jpg	GPU 9S51	867,825;1129,828;1128,884;866,881		
platesmania/LU 986FY.jpg	LU 986FY;AX 4404CP	394,636;582,664;585,715;394,685	1222,419;1316,420;1316,441;1221,439	
platesmania/EWE 71UA.jpg	EWE 71UA	400,838;689,871;684,942;396,907		
platesmania/GMB 3C40.jpg	GMB 3C40	403,879;652,899;650,958;400,934		
platesmania/ZS 4650W.jpg	ZS 4650W	1015,690;1256,689;1256,747;1016,750		
platesmania/PLE 71N2.jpg	PLE 71N2	167,551;342,558;338,599;164,591		
platesmania/WPR 48157.jpg	WPR 48157	188,695;259,699;258,716;187,713		
platesmania/FGW 3GP9.jpg	FGW 3GP9	156,306;282,309;281,335;156,333		
platesmania/DW 267PX.jpg	DW 267PX	269,725;540,694;541,766;273,791		
platesmania/G0 SLMB.jpg	G0 SLMB	786,865;1041,847;1039,906;787,927		
platesmania/NO 6568G.jpg	NO 6568G	421,728;643,761;636,813;412,780		
platesmania/CSW 6K72.jpg	CSW 6K72	1008,1050;1185,1018;1185,1056;1009,1090		
platesmania/PZ 523NM.jpg	PZ 523NM	1134,1002;1307,1003;1306,1041;1133,1040		
platesmania/WPR 51927.jpg	WPR 51927	564,953;752,940;749,975;562,988		
platesmania/KR 1W961.jpg	KR 1W961;PO 4G697	237,652;427,707;417,762;228,704	1159,340;1269,352;1265,376;1155,364	
platesmania/WWY 53310.jpg	WWY 53310	535,1287;683,1299;682,1331;534,1320		
platesmania/NO 2556R.jpg	NO 2556R	774,495;1014,534;1005,589;768,552		
platesmania/GD 034KJ.jpg	GD 034KJ	338,918;436,922;435,946;337,942		
platesmania/WSC 4M87.jpg	WSC 4M87	224,707;420,721;418,766;221,753		
platesmania/KLI 0483C.jpg	KLI 0483C	756,1100;941,1082;939,1119;756,1139		
platesmania/SMY 61P8.jpg	SMY 61P8	899,1024;1033,1019;1033,1046;898,1052		
platesmania/DW 044LL.jpg	DW 044LL	1096,796;1223,762;1220,795;1091,829		
platesmania/LHR 5C11.jpg	LHR 5C11	175,603;325,639;324,689;175,650		
platesmania/DW 743LC.jpg	DW 743LC	941,845;1277,847;1273,919;938,921		
platesmania/LLE 23281.jpg	LLE 23281	208,389;406,400;405,444;206,433		
platesmania/FZA 1L69.jpg	FZA 1L69	340,519;694,507;694,579;342,590		
platesmania/GD 942JN.jpg	GD 942JN	1045,783;1199,780;1199,817;1044,822		
platesmania/BI 1689R.jpg	BI 1689R	481,877;809,875;808,942;482,945		
platesmania/PPL 3N55.jpg	PPL 3N55	1213,905;1606,895;1603,980;1209,995		
platesmania/RPR 18070.jpg	RPR 18070	344,794;579,817;579,876;344,850		
platesmania/BIA EN51.jpg	BIA EN51	322,661;461,712;460,759;326,703		
platesmania/BMN 11712.jpg	BMN 11712	882,870;1133,857;1132,913;880,926		
platesmania/DLU 63988.jpg	DLU 63988	771,876;1198,891;1195,971;769,958		
platesmania/GKW 58V9.jpg	GKW 58V9	476,576;740,590;737,644;474,631		
platesmania/TK 1488U.jpg	TK 1488U	478,474;943,427;952,515;485,564		
platesmania/RLU 11LL.jpg	RLU 11LL	417,426;614,451;610,501;416,471		
platesmania/SBI 26125.jpg	SBI 26125	337,582;585,603;586,662;339,641		
platesmania/DWR 54317.jpg	DWR 54317	862,919;1219,919;1223,989;864,990		
platesmania/NO 3408N.jpg	NO 3408N	721,591;1029,598;1027,663;721,659		
platesmania/EL 527JH.jpg	EL 527JH	695,402;890,412;890,454;695,443		
platesmania/B0 MOORE.jpg	B0 MOORE	728,618;916,633;915,672;725,656		
platesmania/KNT 23762.jpg	KNT 23762	669,638;954,621;956,678;672,694		
platesmania/DOA 42622.jpg	DOA 42622	937,619;1212,602;1217,663;944,682		
platesmania/WGM 02834.jpg	WGM 02834	246,649;332,650;332,669;245,669		
platesmania/G0 PKS.jpg	G0 PKS;GKA 2GK12	684,928;798,928;798,954;683,953	0,893;81,893;81,912;0,912	
platesmania/CTU 8A62.jpg	CTU 8A62	1573,828;1691,794;1690,844;1573,880		
platesmania/GWE 97497.jpg	GWE 97497	973,677;1117,653;1115,695;970,719		
platesmania/CB 916HA.jpg	CB 916HA	1052,607;1224,605;1221,647;1047,650		
platesmania/G0 JOA.jpg	G0 JOA;GD 81022	469,808;750,825;752,884;472,865	90,319;175,317;176,336;91,341	
platesmania/WSK 57RK.jpg	WSK 57RK	359,892;469,898;468,921;358,915		
platesmania/NO 59416.jpg	NO 59416	1041,785;1200,761;1197,803;1039,831		
platesmania/PO 524YL.jpg	PO 524YL	415,832;524,835;523,858;414,854		
platesmania/ZMY 1R63.jpg	ZMY 1R63;BE 7885B0	290,713;527,721;526,770;290,766	1284,266;1365,254;1368,277;1286,290	
platesmania/WML VM02.jpg	WML VM02	967,904;1046,900;1047,919;968,923		
platesmania/RP 72974.jpg	RP 72974	492,550;816,562;814,624;492,613		
platesmania/ELW JC21.jpg	ELW JC21	297,772;534,766;533,819;296,823		
platesmania/PSZ 42687.jpg	PSZ 42687	980,494;1164,494;1169,538;985,537		
platesmania/WS 95918.jpg	WS 95918	514,818;627,822;627,846;513,844		
platesmania/WWL 88K7.jpg	WWL 88K7	351,732;549,739;547,781;347,776		
platesmania/BHA W090.jpg	BHA W090	412,799;519,802;518,824;411,821		
platesmania/NO 4273C.jpg	NO 4273C	258,616;342,644;337,674;252,646		
platesmania/LRA 3V75.jpg	LRA 3V75	345,566;627,574;622,635;343,627		
platesmania/FSL W019.jpg	FSL W019	340,906;573,916;572,970;338,959		
platesmania/RJA 69938.jpg	RJA 69938	338,858;536,884;533,940;337,906		
platesmania/KN 95400.jpg	KN 95400	931,590;1143,583;1147,630;933,636		
platesmania/GD 58892.jpg	GD 58892	376,881;495,881;495,907;376,906		
platesmania/NO 60724.jpg	NO 60724	166,726;352,752;355,803;169,776		
platesmania/WR 5891K.jpg	WR 5891K	830,777;1056,768;1057,816;830,825		
platesmania/WSC YG78.jpg	WSC YG78	974,883;1061,876;1061,899;973,906		
platesmania/PO 868LW.jpg	PO 868LW	297,784;555,784;555,840;299,839		
platesmania/LLU 20282.jpg	LLU 20282	315,1322;458,1325;461,1357;315,1353		
platesmania/TSA 2633A.jpg	TSA 2633A	1018,1062;1168,1069;1165,1101;1016,1096		
platesmania/PO 041XN.jpg	PO 041XN	340,646;428,649;427,669;340,666		
platesmania/NO 39375.jpg	NO 39375	273,768;473,812;464,862;267,816		
platesmania/WWY 2943P.jpg	WWY 2943P	424,820;544,822;543,846;423,844		
platesmania/KSU 17R1.jpg	KSU 17R1	183,734;441,816;449,875;193,792		
platesmania/SI 56062.jpg	SI 56062	711,1004;920,1002;919,1042;710,1047		
platesmania/B1 MARIA.jpg	B1 MARIA	433,605;596,612;592,651;431,642		
platesmania/RP 62717.jpg	RP 62717	664,848;935,844;936,899;663,904		
platesmania/WGM 7LN9.jpg	WGM 7LN9	368,826;489,830;487,856;367,852		
platesmania/LBI 31714.jpg	LBI 31714	583,730;688,736;687,759;584,754		
platesmania/ERW 8J09.jpg	ERW 8J09	1028,845;1263,831;1259,885;1024,900		
platesmania/WML 01LL.jpg	WML 01LL	107,697;210,748;215,793;111,737		
platesmania/WWY 19811.jpg	WWY 19811	787,1216;977,1216;977,1258;785,1256		
platesmania/OP 4720H.jpg	OP 4720H	304,941;478,968;478,1016;303,988		
platesmania/EL 1E444.jpg	EL 1E444	403,705;641,729;632,787;393,761		
platesmania/DW 718TK.jpg	DW 718TK	500,631;807,651;802,717;494,694		
platesmania/SK 8728A.jpg	SK 8728A	943,810;1117,786;1118,820;944,847		
platesmania/WSC 3W29.jpg	WSC 3W29	1139,1032;1297,1035;1297,1066;1138,1066		
platesmania/FSL 27CF.jpg	FSL 27CF	880,568;1030,509;1043,550;897,613		
platesmania/WZ 8478P.jpg	WZ 8478P	423,789;534,793;534,816;422,812		
platesmania/FZG 22516.jpg	FZG 22516	554,645;887,709;878,777;549,714		
platesmania/ZST 47423.jpg	ZST 47423	1174,764;1272,747;1279,783;1181,803		
platesmania/DW 386RM.jpg	DW 386RM	513,752;757,755;757,805;512,802		
platesmania/KWI 67UG.jpg	KWI 67UG	167,550;368,587;370,643;169,602		
platesmania/LTM 21162.jpg	LTM 21162;AA 0072EP	216,597;389,607;382,646;205,635	926,342;1084,346;1084,381;926,377	
platesmania/WWY 1519P.jpg	WWY 1519P	1171,1036;1330,1038;1330,1070;1170,1069		
platesmania/ZSZ 16083.jpg	ZSZ 16083	343,626;620,621;620,678;342,684		
platesmania/LLU 53730.jpg	LLU 53730	490,888;613,891;614,917;491,914		
platesmania/WI 675ET.jpg	WI 675ET	414,811;577,805;578,837;415,844		
platesmania/WOR 2866P.jpg	WOR 2866P	869,1072;999,1075;1000,1101;868,1098		
platesmania/WRA 21517.jpg	WRA 21517	996,743;1273,746;1279,800;1000,800		
platesmania/LRY 36VP.jpg	LRY 36VP	667,401;833,393;834,429;667,438		
platesmania/W0 715P.jpg	W0 715P	263,820;536,807;545,873;271,882		
platesmania/PO 5Y532.jpg	PO 5Y532	1139,1157;1291,1156;1291,1187;1139,1189		
platesmania/NO 9106F.jpg	NO 9106F	1016,779;1187,774;1188,812;1016,817		
platesmania/KTT 44UE.jpg	KTT 44UE	601,642;732,639;733,666;601,670		
platesmania/OP 4277E.jpg	OP 4277E	144,597;200,598;196,614;139,612		
platesmania/GD 661PE.jpg	GD 661PE	937,949;1201,926;1203,984;937,1010		
platesmania/KR 9Y280.jpg	KR 9Y280	233,853;353,887;351,932;231,894		
platesmania/RZ 1500M.jpg	RZ 1500M	285,779;421,789;417,828;279,817		
platesmania/DW 740CS.jpg	DW 740CS	234,572;500,646;480,721;214,639		
platesmania/PZ 053LV.jpg	PZ 053LV	941,870;1060,870;1060,893;940,894		
platesmania/FZA 03209.jpg	FZA 03209	174,893;323,922;324,966;174,935		
platesmania/WSC PS71.jpg	WSC PS71	887,892;1000,890;1000,913;887,915		
platesmania/K0 ERYK.jpg	K0 ERYK	1094,826;1210,802;1208,846;1093,873		
platesmania/WWE TX77.jpg	WWE TX77	503,1113;646,1119;650,1153;505,1147		
platesmania/NO 8053F.jpg	NO 8053F	385,674;588,683;588,728;385,719		
platesmania/WT 24625.jpg	WT 24625	377,656;587,683;587,744;377,712		
platesmania/BSK K554.jpg	BSK K554	855,933;1142,955;1138,1012;850,995		
platesmania/KBC 46FV.jpg	KBC 46FV	265,711;352,715;355,736;269,732		
platesmania/WY 4254W.jpg	WY 4254W	240,718;490,720;487,779;238,775		
platesmania/SCZ 57852.jpg	SCZ 57852	617,946;824,923;826,961;617,988		
platesmania/TOP 01122.jpg	TOP 01122	128,814;304,835;303,888;126,867		
platesmania/S0 JOHN.jpg	S0 JOHN	373,743;460,740;461,759;373,760		
platesmania/LBI 76V6.jpg	LBI 76V6	407,872;523,879;522,903;405,897		
platesmania/SGL RC98.jpg	SGL RC98	742,530;1031,523;1033,583;744,595		
platesmania/NO 30940.jpg	NO 30940	200,800;286,824;289,861;205,833		
platesmania/NO 99929.jpg	NO 99929	886,864;1071,856;1063,894;876,907		
platesmania/BS 09192.jpg	BS 09192	930,598;1135,606;1133,654;928,652		
platesmania/ZK 7550E.jpg	ZK 7550E	287,462;461,470;455,512;281,501		
platesmania/KRA 4954P.jpg	KRA 4954P	1446,1019;1546,1007;1545,1035;1446,1049		
platesmania/WGR MG15.jpg	WGR MG15	238,535;484,544;480,597;232,587		
platesmania/WSI 20VE.jpg	WSI 20VE	454,863;565,871;563,896;453,888		
platesmania/RLU 39JE.jpg	RLU 39JE	1100,861;1211,829;1212,862;1101,897		
platesmania/WY 6555W.jpg	WY 6555W	311,685;479,681;480,717;310,720		
platesmania/KCH A990.jpg	KCH A990	270,845;504,947;515,1023;276,906		
platesmania/DW 3T788.jpg	DW 3T788	381,624;574,660;576,702;385,664		
platesmania/LU 5787X.jpg	LU 5787X	441,843;557,848;556,871;440,867		
platesmania/LLU 96XJ.jpg	LLU 96XJ	329,997;444,997;444,1021;328,1022		
platesmania/TKN 74FP.jpg	TKN 74FP	855,367;1025,364;1027,403;855,406		
platesmania/WGM 24166.jpg	WGM 24166	522,906;651,911;651,937;522,932		
platesmania/F0 COSMO.jpg	F0 COSMO	148,726;315,747;314,794;146,771		
platesmania/SM 53715.jpg	SM 53715;GE 367962	663,970;991,984;990,1050;659,1037	1828,670;1954,675;1952,708;1825,702	
platesmania/WPU 20379.jpg	WPU 20379	170,525;363,528;365,571;171,566		
platesmania/NO 0338L.jpg	NO 0338L	755,676;962,673;961,716;754,720		
platesmania/RPR 72UA.jpg	RPR 72UA	103,779;234,787;237,827;105,819		
platesmania/KOS U664.jpg	KOS U664	1066,736;1215,696;1212,739;1063,783		
platesmania/PGS 28391.jpg	PGS 28391	564,884;828,903;823,957;557,940		
platesmania/DW 7726A.jpg	DW 7726A	1152,840;1360,845;1362,897;1151,900		
platesmania/GSL 38579.jpg	GSL 38579	1019,788;1245,738;1241,798;1016,852		
platesmania/POS 3S17.jpg	POS 3S17	268,577;399,577;400,606;267,604		
platesmania/DW 2G225.jpg	DW 2G225	493,398;656,396;656,431;493,433		
platesmania/RZ 7262R.jpg	RZ 7262R	972,733;1159,687;1155,733;970,784		
platesmania/P3 DZWIG.jpg	P3 DZWIG	528,626;722,632;720,673;524,665		
platesmania/NO 51913.jpg	NO 51913	1044,858;1097,856;1098,871;1046,873		
platesmania/WOS 11376.jpg	WOS 11376	1135,938;1427,818;1401,888;1112,1012		
platesmania/SCZ 28XJ.jpg	SCZ 28XJ	1085,1000;1341,937;1339,994;1085,1061		
platesmania/PO 5AG32.jpg	PO 5AG32	742,947;880,936;880,965;742,976		
platesmania/LB 94657.jpg	LB 94657	234,666;316,667;316,683;233,683		
platesmania/GA 37753.jpg	GA 37753	373,859;573,860;573,904;374,899		
platesmania/KR 8J227.jpg	KR 8J227	373,537;658,547;654,612;368,596		
platesmania/DW 904EJ.jpg	DW 904EJ	92,658;284,740;282,807;88,719		
platesmania/SPI 46TS.jpg	SPI 46TS;AI 8537BE	972,961;1260,945;1256,1003;971,1020	86,374;188,374;187,396;85,395	
platesmania/PO 2V873.jpg	PO 2V873	285,788;434,798;435,836;285,824		
platesmania/DW 848FL.jpg	DW 848FL	653,1055;993,1071;991,1141;651,1120		
platesmania/RLU 82YK.jpg	RLU 82YK;RLU 1BUY	930,534;1148,509;1152,566;933,601	103,382;159,381;160,394;102,395	
platesmania/SK 864HX.jpg	SK 864HX	846,971;1045,959;1044,998;847,1009		
platesmania/WGM 1X69.jpg	WGM 1X69	909,728;1021,728;1021,751;909,752		
platesmania/WN 2558E.jpg	WN 2558E	234,703;335,733;334,760;233,728		
platesmania/S1 RTP01.jpg	S1 RTP01	1014,927;1288,931;1286,987;1014,984		
platesmania/LLU 46950.jpg	LLU 46950	284,914;398,920;398,944;285,936		
platesmania/RMI 17983.jpg	RMI 17983	204,267;350,268;351,299;204,298		
platesmania/LRY 73WS.jpg	LRY 73WS	292,571;529,585;527,636;290,619		
platesmania/ZK 2592C.jpg	ZK 2592C	825,568;1033,556;1041,600;831,611		
platesmania/NO 53599.jpg	NO 53599	338,818;385,824;385,841;338,833		
platesmania/RP 76947.jpg	RP 76947	410,686;493,687;493,709;410,708		
platesmania/LCH 15720.jpg	LCH 15720	231,390;436,389;434,436;231,432		
platesmania/TPI 84SW.jpg	TPI 84SW	274,593;492,608;487,656;268,640		
platesmania/NO 58246.jpg	NO 58246;NO 7312F	784,736;1027,737;1019,788;776,789	82,329;153,330;154,346;81,344	
platesmania/BKL 16661.jpg	BKL 16661	1258,922;1399,899;1401,930;1258,954		
platesmania/NOL 73434.jpg	NOL 73434	469,678;804,703;801,777;468,749		
platesmania/BS 01264.jpg	BS 01264	586,669;797,708;792,767;581,722		
platesmania/G0 HANIA.jpg	G0 HANIA	110,715;212,733;211,769;109,750		
platesmania/WW 113XR.jpg	WW 113XR	1024,728;1175,711;1176,744;1023,763		
platesmania/LU 837GE.jpg	LU 837GE	763,777;1025,774;1025,825;763,834		
platesmania/WE 945PJ.jpg	WE 945PJ	1302,967;1572,917;1564,981;1294,1032		
platesmania/TST 11RK.jpg	TST 11RK	727,885;959,881;959,929;727,934		
platesmania/LU 284EK.jpg	LU 284EK	211,655;295,662;294,682;211,674		
platesmania/LBI 91273.jpg	LBI 91273	531,847;649,850;649,875;530,871		
platesmania/DW 7U733.jpg	DW 7U733	272,775;366,772;367,790;273,793		
platesmania/WGM 4V69.jpg	WGM 4V69	390,918;508,925;507,949;389,942		
platesmania/GA 0686A.jpg	GA 0686A	200,809;255,815;259,833;201,826		
platesmania/WO 08902.jpg	WO 08902	1063,575;1240,539;1240,583;1063,622		
platesmania/OB 23661.jpg	OB 23661	301,428;405,428;404,452;300,451		
platesmania/CTR KF59.jpg	CTR KF59	723,1018;875,1003;876,1035;724,1050		
platesmania/PZ 996PG.jpg	PZ 996PG	221,705;300,710;300,728;220,723		
platesmania/WN 76876.jpg	WN 76876	328,804;545,861;534,926;317,860		
platesmania/WF 28036.jpg	WF 28036	1040,519;1297,499;1306,561;1049,589		
platesmania/RJA 67578.jpg	RJA 67578	458,857;697,865;698,916;458,908		
platesmania/TSZ 33177.jpg	TSZ 33177	1332,919;1584,866;1580,925;1324,983		
platesmania/RP 52557.jpg	RP 52557	1043,740;1189,732;1189,766;1042,774		
platesmania/GD 587PE.jpg	GD 587PE	393,676;609,689;609,735;391,723		
platesmania/NO 1984J.jpg	NO 1984J	1045,565;1183,553;1196,589;1052,602		
platesmania/WE 5822F.jpg	WE 5822F	1114,704;1257,712;1255,750;1110,742		
platesmania/LLU 41RC.jpg	LLU 41RC	1047,1024;1205,998;1203,1031;1047,1057		
platesmania/WOT 81UH.jpg	WOT 81UH	951,700;1206,671;1213,737;953,767		
platesmania/OP 9283G.jpg	OP 9283G	469,708;691,719;687,764;466,755		
platesmania/WO 44200.jpg	WO 44200	927,890;1041,889;1041,913;926,914		
platesmania/SK 797EF.jpg	SK 797EF	686,867;783,867;783,886;685,887		
platesmania/NO 26012.jpg	NO 26012	862,884;1020,888;1017,924;861,919		
platesmania/TK 4146T.jpg	TK 4146T	792,529;1141,498;1149,578;799,613		
platesmania/PO 5CY17.jpg	PO 5CY17	873,634;1060,614;1062,656;875,681		
platesmania/PO 1ER74.jpg	PO 1ER74	1102,701;1272,670;1272,719;1102,754		
platesmania/LLU 64073.jpg	LLU 64073	341,739;460,735;461,765;339,768		
platesmania/WA 91193.jpg	WA 91193	376,779;632,776;634,830;378,832		
platesmania/PO 9F080.jpg	PO 9F080	806,818;1069,771;1067,826;806,876		
platesmania/WPL 25149.jpg	WPL 25149	447,521;769,524;769,588;446,583		
platesmania/GD 585CG.jpg	GD 585CG	203,814;357,819;357,862;202,858		
platesmania/PP 9584H.jpg	PP 9584H	274,740;355,741;354,761;273,758		
platesmania/LU 0042V.jpg	LU 0042V	755,671;1029,664;1027,725;758,730		
platesmania/KRA H338.jpg	KRA H338	1002,721;1170,690;1174,733;1004,772		
platesmania/KOL VG71.jpg	KOL VG71	519,773;813,834;803,908;509,844		
platesmania/GD 84462.jpg	GD 84462	358,899;475,902;475,927;357,922		
platesmania/PSZ 16341.jpg	PSZ 16341	664,659;931,632;937,689;670,719		
platesmania/WU 5651F.jpg	WU 5651F	533,616;936,630;930,709;526,696		
platesmania/SG 3207S.jpg	SG 3207S	1170,1004;1349,975;1348,1012;1171,1043		
platesmania/WND 39813.jpg	WND 39813	158,597;336,615;335,662;157,638		
platesmania/TJE A302.jpg	TJE A302	442,460;576,454;579,482;442,486		
platesmania/SK 643LX.jpg	SK 643LX	630,860;946,878;944,944;627,926		
platesmania/WOS 9G43.jpg	WOS 9G43	407,719;616,771;616,826;407,770		
platesmania/WX 40504.jpg	WX 40504	910,600;985,594;986,613;911,617		
platesmania/ST 6445C.jpg	ST 6445C	631,904;812,915;808,954;627,942		
platesmania/TLW E444.jpg	TLW E444	524,595;937,599;932,677;524,677		
platesmania/LLU 62903.jpg	LLU 62903	427,1281;564,1285;564,1313;427,1309		
platesmania/WGR WU06.jpg	WGR WU06	1035,547;1272,542;1277,602;1038,610		
platesmania/KOS 48737.jpg	KOS 48737	389,821;565,825;564,866;384,859		
platesmania/ELC 13190.jpg	ELC 13190	479,553;758,560;756,612;478,605		
platesmania/SBE HR57.jpg	SBE HR57	332,876;615,897;615,954;332,931		
platesmania/DWR 4464C.jpg	DWR 4464C	336,670;581,689;573,746;329,724		
platesmania/LSW 81CY.jpg	LSW 81CY	945,594;1305,577;1312,653;948,673		
platesmania/DW 9E830.jpg	DW 9E830	681,917;1030,936;1030,1007;680,987		
platesmania/ZS 293HS.jpg	ZS 293HS	256,706;334,710;333,728;256,724		
platesmania/NO 22427.jpg	NO 22427	684,767;934,768;933,820;681,820		
platesmania/OP 9227G.jpg	OP 9227G	667,366;839,341;845,381;674,408		
platesmania/K1 JST13.jpg	K1 JST13	672,1155;836,1160;835,1192;672,1187		
platesmania/WY 5271W.jpg	WY 5271W	724,657;898,650;907,686;731,694		
platesmania/WML FV17.jpg	WML FV17	307,820;521,867;521,925;305,871		
platesmania/RP 51094.jpg	RP 51094	491,709;672,710;672,744;489,744		
platesmania/DWR 27539.jpg	DWR 27539	1372,907;1474,904;1474,933;1371,936		
platesmania/KTA 57985.jpg	KTA 57985	917,690;1067,619;1059,663;909,743		
platesmania/BI 7543V.jpg	BI 7543V	479,882;589,886;588,911;479,905		
platesmania/PZ 2261F.jpg	PZ 2261F	181,894;283,922;281,971;180,938		
platesmania/RPZ 36158.jpg	RPZ 36158	864,755;1133,753;1133,808;864,813		
platesmania/WM 38898.jpg	WM 38898;B 0700PT	287,682;483,763;486,822;289,736	1349,424;1437,433;1436,451;1345,440	
platesmania/TSA 39AU.jpg	TSA 39AU	1113,855;1225,841;1225,877;1112,893		
platesmania/KR 3G404.jpg	KR 3G404	197,860;308,889;306,930;193,898		
platesmania/DLE 16455.jpg	DLE 16455	209,818;473,840;470,896;205,872		
platesmania/KR 9206S.jpg	KR 9206S;AB4865AP	184,595;315,603;314,635;181,627	969,335;1092,342;1092,371;967,366	
platesmania/C5 CRASH.jpg	C5 CRASH	965,826;1134,810;1134,851;964,867		
platesmania/WM 6836J.jpg	WM 6836J	842,822;1066,818;1064,868;839,872		
platesmania/POS 55328.jpg	POS 55328	858,879;1001,877;1001,908;858,910		
platesmania/NO 5085A.jpg	NO 5085A	1090,658;1216,660;1216,701;1089,701		
platesmania/EPA NT22.jpg	EPA NT22	694,796;1024,819;1018,889;689,863		
platesmania/RLU 42NC.jpg	RLU 42NC	687,651;939,635;937,683;689,702		
platesmania/NO 94908.jpg	NO 94908	217,776;329,786;330,826;216,813		
platesmania/SZY 14342.jpg	SZY 14342	806,732;1288,738;1289,831;804,828		
platesmania/WA 97894.jpg	WA 97894	1065,703;1268,687;1260,741;1055,760		
platesmania/WM 31392.jpg	WM 31392	1062,514;1196,515;1206,551;1069,553		
platesmania/KR 2FC75.jpg	KR 2FC75	647,855;767,859;765,881;646,878		
platesmania/TOP 02257.jpg	TOP 02257	933,556;1208,523;1213,591;939,632		
platesmania/RLU 47C4.jpg	RLU 47C4	197,826;434,885;437,949;198,885		
platesmania/CB 432FV.jpg	CB 432FV	865,713;1055,712;1061,752;868,755		
platesmania/EL 1C517.jpg	EL 1C517	1164,671;1383,624;1391,686;1171,741		
platesmania/GD 64413.jpg	GD 64413;GD 0866M	741,673;960,659;965,707;744,721	1117,468;1162,486;1152,517;1106,498	
platesmania/FMI 09406.jpg	FMI 09406	1393,924;1557,839;1555,893;1394,983		
platesmania/LBL 32939.jpg	LBL 32939	870,942;1180,945;1179,1008;867,1005		
platesmania/FGW PC02.jpg	FGW PC02	1012,632;1090,631;1090,649;1012,650		
platesmania/RZ 9422C.jpg	RZ 9422C	787,443;999,442;1003,490;787,492		
platesmania/ONY J695.jpg	ONY J695	364,908;534,910;536,949;363,947		
platesmania/NBA 34UF.jpg	NBA 34UF	306,649;407,682;407,714;306,679		
platesmania/LLB 49600.jpg	LLB 49600	697,926;778,921;779,939;697,944		
platesmania/LU 55784.jpg	LU 55784	1043,656;1210,615;1218,655;1051,697		
platesmania/LRA 09110.jpg	LRA 09110	616,650;701,648;703,667;616,670		
platesmania/NO 32998.jpg	NO 32998	555,903;717,919;718,951;555,937		
platesmania/DL 90546.jpg	DL 90546	197,793;378,842;378,901;196,849		
platesmania/GD 666LK.jpg	GD 666LK	990,832;1173,813;1173,856;989,881		
platesmania/G0 AMS.jpg	G0 AMS	436,563;604,582;599,622;430,599		
platesmania/SB 77677.jpg	SB 77677	240,721;315,720;319,739;242,740		
platesmania/GD 591PP.jpg	GD 591PP	322,827;547,857;549,912;325,880		
